Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
63	3.7487547	26.092274	60.828876	-51.93841	166.21739	-5.2199526	7.2319546	17.3263	-23.296642	256000	8.5830685e-09	153.35162	-0.013343715	-49.49952	0.7164698	0.017739307	0.2435	7.0	271.1837704181671
64	-5.89921	35.802944	55.235275	-88.09294	259.0	-3.2237954	6.0578365	17.581444	-21.232132	260000	1.6450882e-08	77.84602	-0.012915022	-13.528267	0.7142088	0.015733544	0.2595	8.0	275.67106795310974
65	10.00193	26.511852	80.28237	-42.568295	173.5	-1.6297572	6.353543	16.384216	-15.435988	264000	6.437302e-09	174.02365	-0.013776193	-34.735687	0.71129006	0.018437095	0.20825	7.0	279.9245390892029
66	-11.255706	47.026905	83.048904	-139.2012	169.08696	-1.3342587	5.435197	16.129663	-20.050554	268000	-9.536744e-10	386.06357	-0.011061216	-148.93492	0.7089997	0.015386183	0.26625	7.0	284.0907483100891
67	-13.953627	29.69822	41.240158	-61.484814	439.44446	-11.364552	6.7656693	14.658903	-26.757143	272000	2.4557114e-08	192.03795	-0.013742269	-95.54879	0.70707303	0.015357041	0.26825	7.0	289.3360514640808
68	3.3510904	29.124424	59.891953	-64.724945	168.88889	-4.483828	4.231363	12.294533	-23.937695	276000	1.7881394e-08	145.72841	-0.013686955	-40.61693	0.7051058	0.016208375	0.24175	9.0	293.8588242530823
69	5.4909773	19.610243	48.143543	-22.19119	242.53847	-0.81688654	4.9146013	15.449738	-20.079735	280000	1.6212464e-08	81.27127	-0.011612149	-13.285805	0.70266503	0.015672734	0.2075	8.0	299.222549200058
70	20.121183	31.901302	105.03477	-12.898796	192.38889	1.789075	5.774436	16.958431	-17.627773	284000	-2.6226044e-09	147.2595	-0.010924323	-32.987526	0.70045704	0.015266119	0.231	7.0	303.5448303222656
71	15.200142	19.240417	48.34179	-11.083358	192.35294	2.584322	5.055893	17.251894	-10.1454115	288000	-2.2768974e-08	63.168133	-0.0153812505	-9.457527	0.6981159	0.015450323	0.2525	10.0	307.5469307899475
72	2.515007	28.574898	88.90695	-54.64668	128.53847	4.011029	4.4425335	16.05492	-15.145616	292000	2.384186e-10	129.9661	-0.014751046	-31.652733	0.6942775	0.017502625	0.2315	6.0	311.510781288147
73	18.918398	51.332546	133.1002	-77.05493	227.47058	-0.31918243	5.708456	17.82322	-17.462715	296000	1.5616417e-08	385.8602	-0.010690183	-76.20993	0.69196457	0.016448203	0.185	7.0	315.4496183395386
74	7.289196	29.357693	85.53836	-50.93886	184.2381	3.5121303	6.709863	20.501019	-27.090803	300000	-1.9073487e-09	164.37387	-0.010864762	-42.167732	0.6894629	0.016974023	0.1735	6.0	319.3512315750122
75	9.654925	25.770077	48.65051	-32.22017	344.72726	-0.46173975	5.6204205	19.799187	-21.933561	304000	2.5749207e-08	85.82153	-0.013923045	-22.527626	0.68744123	0.015478316	0.23825	8.0	323.4995698928833
