Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
83	314.1164	107.100914	659.71405	77.12022	196.15	105.36076	35.690315	127.53812	-9.145506	336000	4.9471853e-09	421.07538	-0.03739167	-291.90613	0.74759305	0.012037903	0.25625	79.0	249.6978931427002
84	338.55548	93.59115	667.4856	240.77054	196.6	107.75902	30.195942	127.885735	16.343458	340000	-8.5830685e-09	253.84135	-0.014450558	-84.14531	0.736421	0.015176997	0.24675	8.0	252.17651891708374
85	350.36838	91.81307	618.9986	71.99882	202.8421	106.75655	33.69234	128.12035	-9.930721	344000	7.152557e-09	347.1863	-0.011110841	-164.63564	0.73542935	0.016812967	0.231	7.0	254.62796092033386
86	334.7188	56.53259	419.52036	211.07104	181.27272	112.29089	32.40336	131.36385	20.798292	348000	-2.5272369e-08	244.36214	-0.03705763	-41.40158	0.73397136	0.015261399	0.21625	39.0	257.5483946800232
87	325.34027	42.534283	455.53937	265.98404	173.26086	113.31017	33.34758	133.81197	21.20014	352000	6.9141386e-09	155.29352	-0.014156927	-23.620193	0.7262244	0.016752033	0.1895	6.0	260.30938720703125
88	327.18027	44.589355	414.83002	225.72287	172.65218	111.715935	35.09486	134.88283	21.172243	356000	-6.0796737e-09	240.73683	-0.039632693	-40.51149	0.7248956	0.015098947	0.25175	54.0	263.2977521419525
89	355.66068	53.956	463.32626	244.32735	181.45454	112.86545	34.402332	135.93297	21.04258	360000	-7.420778e-09	287.67438	-0.04465694	-124.16411	0.7137641	0.0128024975	0.2115	79.0	266.4138214588165
90	341.436	45.86055	399.86337	216.5211	178.31818	120.916	34.369625	140.37007	21.933777	364000	8.940697e-09	202.18213	-0.03319663	-55.4366	0.70576906	0.015201421	0.17	29.0	269.30174827575684
91	364.9804	49.53999	432.1779	264.56042	186.85715	116.55971	36.033253	141.13548	21.85424	368000	-4.386902e-08	181.58469	-0.038989175	-66.066536	0.7029445	0.01501598	0.20225	50.0	272.2872190475464
92	369.9105	38.0766	450.9996	290.82178	189.4762	120.54975	37.164173	144.10768	22.364	372000	1.1742115e-08	124.89848	-0.04639415	-23.553589	0.69955015	0.011780834	0.2435	79.0	275.0489728450775
93	372.71973	76.2828	518.5924	133.87933	201.36842	119.84059	40.40794	146.20651	-13.019083	376000	-3.5762786e-09	241.82118	-0.040221583	-105.68422	0.692461	0.00993559	0.23875	79.0	278.157434463501
94	370.93735	48.612255	490.18637	283.1958	186.19048	123.990234	38.17346	148.39975	22.866842	380000	-1.168251e-08	199.18925	-0.03351025	-28.997925	0.68842816	0.015157852	0.17125	28.0	281.0179851055145
95	374.75943	40.175632	479.0215	319.5623	189.09525	124.74863	38.55331	149.80418	22.954868	384000	1.3113022e-08	123.744675	-0.0435368	-22.373894	0.6808478	0.011918125	0.25125	79.0	284.1433000564575
96	368.14758	39.717915	452.92593	298.49344	182.38095	124.42098	38.043648	150.77109	22.839542	388000	-3.3378602e-09	122.49731	-0.044547603	-24.569199	0.6691518	0.013562153	0.2325	79.0	287.34370517730713
97	378.94537	45.83887	470.02417	243.56407	190.14285	125.11634	40.23705	152.23221	22.878511	392000	-1.7881393e-09	119.238396	-0.013020576	-23.257736	0.66424114	0.016418945	0.1865	8.0	290.10257053375244
98	364.54694	32.298985	426.16837	307.6925	179.59091	125.49199	40.822216	153.43446	22.860006	396000	-7.629395e-09	87.2674	-0.03634208	-19.411224	0.66344166	0.015216812	0.204	36.0	292.7243163585663
99	373.31458	45.268673	449.47614	244.23767	186.09525	126.34082	39.697144	154.08586	22.649143	400000	-1.0967255e-08	132.33334	-0.012510252	-30.742645	0.65629107	0.015295827	0.20475	7.0	295.18573570251465
100	375.15854	33.433395	457.34204	334.28757	186.66667	126.20399	40.071896	154.738	22.430052	404000	1.168251e-08	111.768845	-0.043158412	-23.361	0.65644103	0.009364143	0.2165	79.0	298.03219842910767
101	378.599	38.698765	454.33417	285.20358	192.3	125.31908	40.580795	155.12814	22.091167	408000	5.9604646e-09	94.122925	-0.042774953	-21.204224	0.64882827	0.015053843	0.23175	72.0	300.835818529129
102	370.15024	38.58733	490.06088	320.07758	182.4762	125.489494	40.81601	155.34677	21.726826	412000	2.861023e-09	57.32125	-0.04898044	-15.109097	0.64490396	0.011364319	0.2675	79.0	303.9632725715637
103	382.84607	54.623135	561.0514	312.45215	195.9	128.08336	40.22091	155.97728	21.402184	416000	1.2755394e-08	124.14319	-0.042890728	-33.099045	0.63185424	0.012185677	0.23125	79.0	307.4926245212555
104	366.01807	38.028675	468.15787	284.3419	182.57143	123.34958	41.371254	155.52492	20.890476	420000	-4.4107438e-09	70.73839	-0.0148795815	-26.47015	0.6259785	0.015932603	0.205	8.0	310.2535934448242
105	368.87384	46.454334	460.5067	294.47372	181.5238	124.90969	40.103733	155.74532	20.439156	424000	2.4914742e-08	146.51363	-0.010778961	-29.348969	0.6261219	0.015605575	0.21	7.0	313.0000250339508
106	377.01703	44.154667	462.29596	278.07864	188.28572	125.8702	41.693264	156.5788	20.255402	428000	5.4836273e-09	100.41806	-0.035128172	-24.865135	0.6258656	0.015011334	0.17625	38.0	316.3346092700958
107	374.02258	42.02567	477.1395	294.63065	182.4762	124.85956	41.47635	157.16849	19.933577	432000	1.6689301e-09	95.16789	-0.037488937	-23.228722	0.6261359	0.01511301	0.22275	38.0	319.2475552558899
108	379.25925	37.24953	436.18106	293.62714	184.66667	126.42469	42.3305	158.07133	19.801613	436000	-1.3828277e-08	56.374447	-0.03944048	-15.655895	0.6216723	0.015124828	0.21425	48.0	322.26419973373413
109	364.42255	43.885242	453.84137	284.4204	175.09091	128.30736	42.519543	159.42198	19.722809	440000	-7.033348e-09	166.27411	-0.041371282	-33.246124	0.61960804	0.015045204	0.21975	55.0	325.38935232162476
110	372.12366	42.361004	498.20587	308.66455	177.27272	126.533356	42.73019	159.47122	19.21458	444000	-1.8715859e-08	77.79812	-0.014342047	-14.88044	0.6156384	0.016874276	0.183	8.0	328.6548945903778
111	392.93094	41.150642	468.29883	302.49463	190.2381	128.73203	42.65491	160.20685	19.013296	448000	9.536743e-09	75.36325	-0.040740762	-17.104717	0.61501914	0.015087905	0.22625	44.0	331.73530101776123
112	372.38654	62.827637	480.229	199.22499	179.45454	129.6439	43.39014	161.70961	19.062664	452000	-1.07288365e-08	143.4244	-0.048236985	-30.137405	0.61189777	0.012798142	0.2475	79.0	335.2403383255005
113	382.7985	48.116035	472.9404	275.04565	182.33333	129.40237	41.824245	161.68889	18.568544	456000	-1.4781952e-08	123.56845	-0.04729296	-28.78054	0.59772056	0.0126515385	0.248	79.0	338.0344121456146
114	404.1193	48.631245	482.90854	278.04254	196.35	130.48683	43.005566	162.70975	18.458946	460000	-7.629395e-09	102.42763	-0.04961681	-37.997208	0.5906709	0.014530106	0.278	79.0	341.13055872917175
115	388.4156	39.093082	460.42044	315.6019	185.0	133.6469	42.161278	164.06046	18.497696	464000	-3.0994416e-09	121.64389	-0.013414703	-46.617783	0.5913027	0.017012391	0.243	7.0	343.5424768924713
116	392.01126	33.208614	455.38986	338.69736	183.7619	130.50339	44.443253	164.66106	18.357454	468000	7.152557e-09	94.09235	-0.014158552	-30.43649	0.59123486	0.0151985185	0.16025	9.0	345.9938805103302
117	378.592	48.94269	480.39584	278.24582	175.90909	132.81601	43.159782	165.54724	18.291433	472000	-4.172325e-09	99.24175	-0.041758303	-25.406319	0.5916032	0.015156001	0.225	59.0	349.02800941467285
118	393.08496	42.31905	453.21274	307.88184	181.7619	131.00922	42.18385	165.95163	18.082254	476000	3.4809112e-08	85.67577	-0.017847566	-38.82611	0.584905	0.015327387	0.1745	9.0	352.0759732723236
119	399.69415	32.830894	445.2152	330.24557	187.0	135.49982	44.16848	168.00897	18.420095	480000	-1.1920929e-08	65.77644	-0.009155688	-13.562279	0.5835184	0.015072395	0.1765	5.0	354.80801653862
120	387.36502	44.076084	473.86285	316.11838	179.86363	133.95697	43.289272	168.28157	18.021679	484000	1.4305114e-08	101.119156	-0.03551589	-20.87072	0.5824776	0.01509928	0.2005	35.0	357.38675832748413
121	398.6817	45.727192	474.85275	264.54364	184.14285	135.216	41.787075	168.47057	17.688047	488000	-9.536744e-10	219.38362	-0.0153383305	-79.8636	0.5745472	0.015413073	0.259	9.0	360.1236300468445
122	401.44797	34.889034	460.06213	332.91287	183.14285	135.0959	43.668797	169.64694	17.70532	492000	2.861023e-09	85.17375	-0.048628062	-29.1423	0.5739112	0.013195311	0.26175	79.0	363.3505628108978
123	409.79147	59.532566	515.81915	277.72946	187.0	138.31987	43.418617	170.7762	17.739195	496000	8.106232e-09	224.53453	-0.015444988	-59.7632	0.5624344	0.015097354	0.1995	8.0	366.2861840724945
124	435.06427	46.225304	556.69507	363.30453	193.95	139.69974	41.106262	171.98643	17.642866	500000	-9.894371e-09	178.14595	-0.013475546	-83.87216	0.5615934	0.016063375	0.2385	7.0	369.4646244049072
125	423.31046	52.85234	518.5521	328.804	181.61905	144.11934	42.799976	175.0485	18.266758	504000	4.4107438e-09	156.62434	-0.016896801	-49.524513	0.56018555	0.015022444	0.191	10.0	372.245374917984
